"","satis","satis2010","best","recom","product","equipment","sales","technical","training","purchase","pricing"
"41","3","3","0","4","4","4","5","2","2","2","3"
"42","2","2","0","3","4","2","3","3","3","2","2"
"43","3","4","0","3","3","4","3","4","3","4","3"
"44","3","3","0","3","3","3","2","3","4","4","2"
"45","2","2","0","2","4","2","2","1","1","2","1"
"46","1","1","0","1","2","3","1","4","3","2","1"
"47","1","1","0","1","1","1","1","1","3","2","1"
"48","3","1","0","1","3","3","3","3","2","2","3"
"49","4","3","1","5","5","4","5","3","3","4","3"
"50","4","4","0","4","4","4","4","5","2","4","3"
"51","3","3","0","3","3","3","1","5","4","4","1"
"52","4","3","0","4","3","3","3","2","3","4","2"
"53","3","2","1","3","3","4","2","4","4","5","2"
"54","4","4","0","5","5","4","4","5","4","4","3"
"55","4","4","1","5","5","5","4","3","4","3","4"
"56","4","3","1","4","5","4","4","3","3","3","3"
"57","3","1","0","3","2","2","2","1","1","2","1"
"58","3","1","0","4","5","4","4","1","3","4","3"
"59","3","4","0","4","4","3","3","3","3","4","2"
"60","2","2","0","3","3","2","1","2","4","2","2"
"61","3","2","0","3","1","3","2","4","2","4","3"
"62","3","3","0","4","3","3","5","5","3","5","3"
"63","2","1","0","1","2","3","2","1","3","1","1"
"64","3","2","0","2","3","3","1","2","3","4","3"
"65","5","5","1","5","5","4","5","5","4","5","4"
"66","3","4","0","4","4","4","3","3","4","4","4"
"67","1","1","0","1","1","1","1","5","3","2","1"
"68","3","3","0","3","3","3","3","3","3","2","1"
"69","3","3","0","3","5","3","3","2","4","4","3"
"70","4","3","0","4","4","4","4","2","3","3","3"
"71","3","3","0","3","3","4","3","4","4","3","3"
"72","3","4","0","4","5","4","5","2","3","3","3"
"73","5","4","1","3","5","5","4","5","5","5","5"
"74","1","1","0","1","2","1","2","4","3","5","3"
"75","4","3","0","5","5","4","4","4","4","3","4"
"76","5","5","1","5","5","4","3","4","4","4","3"
"77","2","2","0","2","2","3","2","2","3","3","2"
"78","4","3","0","5","5","4","2","5","3","3","3"
"79","5","3","1","5","5","4","3","4","4","2","4"
"80","4","3","1","5","5","3","3","5","3","3","3"
"81","4","3","1","4","5","4","2","4","3","2","3"
"82","4","3","0","4","4","4","4","4","2","3","1"
"83","4","4","1","5","5","4","3","5","4","4","4"
"84","4","4","0","3","3","3","3","4","3","4","3"
"85","4","3","1","4","3","4","3","5","3","1","3"
"86","3","1","0","4","2","3","4","5","4","3","1"
"87","2","2","0","3","3","2","2","2","3","2","1"
"88","3","4","0","3","3","3","2","3","3","3","3"
"89","4","3","1","5","5","4","3","5","4","3","3"
"90","4","3","0","5","5","3","3","4","3","1","4"
"91","5","4","1","5","5","4","4","5","4","3","4"
"92","5","5","1","5","5","4","4","4","4","3","4"
"93","2","2","0","1","1","4","5","4","3","3","3"
"94","4","3","1","5","5","5","3","4","3","3","5"
"95","2","1","0","2","1","4","3","2","3","4","2"
"96","4","3","0","4","4","4","5","4","3","2","4"
"97","3","2","0","3","3","5","3","4","3","2","2"
"98","2","2","0","2","2","5","2","1","5","5","4"
"99","2","2","0","2","2","2","3","2","4","1","2"
"100","3","2","0","3","3","3","4","2","3","4","4"
"101","4","3","1","4","4","4","4","5","4","3","2"
"102","4","4","0","4","4","3","3","2","3","2","5"
"103","3","2","0","3","2","4","1","3","3","4","3"
"104","3","4","0","4","4","3","3","3","4","3","4"
"105","5","3","1","5","5","4","3","5","4","3","3"
"106","3","3","0","2","2","3","2","5","3","3","2"
"107","3","3","0","3","3","3","4","5","3","4","2"
"108","2","2","0","2","3","3","2","3","3","4","3"
"109","4","4","1","5","5","4","4","4","3","3","4"
"110","2","2","0","2","5","4","5","1","4","4","3"
"111","4","3","0","4","5","4","2","5","3","4","3"
"112","4","4","0","4","4","4","5","3","4","4","4"
"113","4","3","1","4","4","4","4","4","2","4","3"
"114","3","3","0","3","4","4","4","4","4","3","3"
"115","4","4","1","2","4","4","4","5","3","5","4"
"116","4","3","0","5","5","4","3","4","3","2","2"
"117","5","1","1","5","5","3","2","4","3","2","2"
"118","4","4","0","4","4","4","5","4","3","4","3"
"119","3","2","0","3","4","3","3","4","2","3","3"
"120","5","4","0","5","5","4","5","5","4","4","4"
"121","2","2","0","2","1","5","5","3","2","1","5"
"122","4","4","0","5","5","3","5","5","4","5","5"
"123","5","3","1","5","5","5","3","5","4","4","4"
"124","5","5","1","5","5","3","5","5","5","5","5"
"125","5","4","1","5","5","4","3","4","4","3","3"
"126","4","4","1","5","4","4","3","4","4","3","4"
"127","3","1","1","4","4","3","2","5","3","4","3"
"128","5","3","1","4","4","4","1","5","2","2","3"
"129","4","2","0","4","5","3","4","4","3","3","3"
"130","3","1","0","3","2","2","3","2","4","2","4"
"131","4","3","0","2","2","4","2","4","3","3","1"
"132","3","2","0","4","3","3","4","4","3","4","3"
"133","4","4","0","3","3","3","5","4","3","5","4"
"134","3","3","1","3","3","3","4","4","4","4","3"
"135","2","3","0","2","2","2","3","2","1","1","2"
"136","4","4","1","4","4","4","5","5","4","4","3"
"137","4","4","1","5","5","4","5","5","4","4","4"
"138","3","3","0","3","3","3","4","4","4","2","3"
"139","4","5","1","4","4","4","4","4","4","3","4"
"140","5","3","1","4","5","4","2","4","3","2","3"
"141","3","2","0","4","4","2","2","4","2","2","2"
"142","4","4","0","5","5","4","3","4","3","3","3"
"143","5","5","1","5","5","4","5","5","4","3","4"
"144","4","4","1","4","4","4","3","4","4","3","3"
"145","3","3","0","4","4","4","4","4","3","4","3"
"146","3","2","0","3","2","3","1","5","3","4","1"
"147","5","5","1","5","5","4","4","5","4","4","4"
"148","4","3","0","4","4","3","3","5","4","4","4"
"149","4","4","1","5","5","4","4","4","4","4","4"
"150","4","3","1","4","4","4","3","4","3","4","3"
"151","4","3","0","4","5","4","5","5","5","4","4"
"152","5","3","0","4","4","3","4","5","4","3","3"
"153","4","5","1","4","5","4","4","5","4","3","4"
"154","4","4","1","5","5","4","4","4","2","3","4"
"155","4","4","1","3","3","4","3","5","3","3","3"
"156","1","2","0","2","3","2","4","4","3","2","4"
"157","3","3","0","4","5","3","4","2","3","3","4"
"158","4","4","0","4","4","4","4","4","4","4","3"
"159","3","4","0","2","2","2","1","4","2","4","2"
"160","4","4","0","5","5","4","3","4","3","4","3"
"161","4","4","1","5","5","4","2","4","4","3","4"
"162","5","5","1","5","5","4","3","4","4","4","3"
"163","4","4","1","5","5","4","4","4","4","4","4"
"164","5","5","1","5","5","4","4","5","4","4","4"
"165","5","5","1","5","5","4","4","5","4","4","4"
"166","4","4","0","5","5","4","4","4","4","4","4"
"167","4","4","1","5","5","4","2","4","4","4","4"
"168","5","5","1","5","5","4","3","4","4","3","4"
"169","3","2","0","5","5","3","4","3","3","2","3"
"170","5","5","1","5","5","4","4","5","4","4","4"
"171","5","5","1","5","5","5","4","5","3","4","4"
"172","4","4","0","5","5","5","5","5","5","5","5"
"173","5","4","1","5","5","4","4","5","4","4","4"
"174","5","4","1","5","5","4","4","4","4","4","4"
"175","4","4","1","5","5","4","3","4","3","4","3"
"176","4","4","1","5","4","3","2","5","4","4","3"
"177","4","4","1","4","4","4","3","4","3","4","3"
"178","4","4","1","5","5","4","4","4","4","4","4"
"179","2","2","0","1","1","3","3","5","3","3","2"
"180","4","4","1","4","4","4","2","3","3","3","3"
"181","5","4","1","5","5","4","4","5","4","4","4"
"182","4","3","0","4","5","4","4","5","4","4","4"
"183","5","5","1","5","5","4","5","5","4","4","4"
"184","4","5","1","5","5","4","4","4","4","4","4"
"185","5","4","1","5","5","4","5","4","4","4","4"
"186","2","3","0","3","3","3","3","2","3","3","2"
"187","5","5","1","5","5","4","5","4","4","3","3"
"188","4","4","0","4","3","2","4","4","2","4","3"
"189","3","2","0","3","3","3","4","5","3","4","3"
"190","4","4","0","3","3","4","3","4","4","2","3"
"191","4","3","1","3","4","3","3","5","5","4","2"
"192","1","1","0","1","1","2","1","2","2","2","1"
"193","4","4","1","4","4","4","4","4","4","4","3"
"194","4","4","0","5","5","4","5","5","5","4","3"
"195","4","4","0","4","4","3","3","4","3","3","3"
"196","4","4","1","4","5","4","3","5","3","3","4"
"197","4","3","0","4","3","4","3","5","4","4","4"
"198","3","3","1","4","4","4","2","4","3","4","2"
"199","2","2","0","3","3","4","2","3","3","1","3"
"200","4","4","0","4","4","4","1","4","3","3","3"
"201","5","4","1","5","5","4","2","4","4","3","4"
"202","4","3","0","4","3","3","2","4","3","2","3"
"203","3","2","0","4","4","4","4","4","3","2","3"
"204","4","3","0","3","3","4","2","3","4","4","2"
"205","5","4","0","5","5","5","5","5","4","5","3"
"206","3","1","1","4","4","3","4","3","3","4","3"
"207","5","3","0","5","5","5","5","5","5","4","3"
"208","4","4","1","5","3","4","5","4","4","4","3"
