"GayMarriage","SexualFreedom","GayAdoption","GenderQuotas","AffirmativeAction","LegalizedMarijuana","Country","LibCons","LeftRight","Gender","Age"
"0","1","0","2","0","2","India",2,8,"Male",32
"0","2","2","0","2","0","India",4,8,"Female",48
"2","2","2","2","2","0","India",3,3,"Male",33
"0","0","1","0","0","1","India",3,9,"Male",45
"1","1","1","2","1","2","India",4,8,"Female",28
"0","0","0","1","1","1","India",2,8,"Male",22
"1","2","1","2","1","0","India",3,7,"Female",35
"0","2","1","0","0","0","India",2,6,"Male",61
"0","2","2","1","1","0","India",2,9,"Female",33
"0","1","0","0","1","0","India",2,8,"Male",47
"0","0","0","2","2","1","India",4,7,"Male",37
"0","0","2","2","2","2","India",8,7,"Male",24
"1","1","2","1","0","0","India",4,5,"Male",24
"2","2","2","1","2","0","India",4,6,"Male",36
"2","2","2","1","2","0","India",3,9,"Male",30
"2","1","2","2","1","2","India",4,7,"Male",28
"0","0","0","0","2","0","India",4,8,"Female",37
"0","1","0","0","1","0","India",4,5,"Male",41
"0","0","0","1","2","1","India",3,6,"Male",25
"1","1","0","1","1","1","India",4,7,"Male",28
"0","1","0","1","0","0","India",2,2,"Male",31
"0","0","0","0","1","2","India",3,4,"Male",31
"2","0","1","2","1","0","India",3,6,"Female",25
"0","1","0","1","2","0","India",5,6,"Female",35
"0","2","2","2","0","2","India",3,7,"Female",50
"1","1","2","0","1","2","India",4,6,"Female",25
"0","2","0","1","2","0","India",4,6,"Male",40
"0","1","0","0","1","0","India",2,9,"Male",32
"0","1","1","1","2","0","India",2,5,"Female",22
"1","1","1","0","0","1","India",6,9,"Male",30
"0","1","0","1","1","1","India",2,9,"Male",20
"0","1","1","1","1","0","India",3,9,"Female",22
"1","1","1","1","1","1","India",2,8,"Female",33
"0","1","0","1","1","2","India",2,10,"Female",26
"0","2","2","2","1","2","India",2,6,"Male",25
"2","1","0","1","1","1","India",4,5,"Male",24
"0","1","0","0","1","0","India",4,7,"Female",28
"2","2","0","2","2","0","India",8,5,"Female",35
"0","0","2","2","2","2","India",4,6,"Female",33
"0","0","0","1","1","0","India",3,7,"Male",23
"0","0","1","1","1","1","India",3,7,"Male",23
"1","2","1","1","1","2","India",4,5,"Female",26
"0","0","0","0","1","2","India",5,9,"Male",69
"0","0","0","1","0","0","India",7,1,"Female",44
"0","0","2","1","1","1","India",2,4,"Female",38
"1","2","1","0","1","2","India",4,5,"Female",19
"1","0","2","0","1","0","India",2,5,"Male",27
"0","0","0","0","0","1","India",2,8,"Female",33
"0","1","1","1","1","1","India",2,6,"Female",38
"1","1","1","0","2","0","India",2,9,"Male",40
"2","1","2","0","2","0","India",3,7,"Male",31
"0","0","2","0","2","1","India",3,6,"Female",27
"0","1","0","1","1","1","India",6,9,"Male",27
"1","1","2","1","1","2","India",1,9,"Male",21
"1","1","1","1","1","2","India",2,10,"Male",25
"0","0","2","1","0","0","India",4,6,"Male",28
"0","1","1","1","0","2","India",6,7,"Male",22
"2","2","2","1","0","2","India",6,5,"Female",27
"0","2","2","2","2","2","India",4,6,"Male",22
"0","0","0","1","1","1","India",4,7,"Male",30
"1","1","0","1","0","0","India",7,10,"Male",25
"0","1","0","1","1","0","India",2,4,"Female",25
"0","1","0","2","1","0","India",5,9,"Male",28
"0","1","0","1","1","2","India",3,8,"Male",22
"0","0","0","1","2","2","India",3,6,"Female",38
"2","1","2","2","1","1","India",5,3,"Male",22
"0","1","0","1","0","0","India",2,10,"Male",20
"1","0","1","1","1","1","India",2,7,"Female",27
"0","0","0","0","0","0","India",4,5,"Female",40
"0","1","0","2","0","0","India",4,6,"Female",24
"0","0","2","2","2","1","India",4,3,"Male",55
"1","1","2","1","1","2","India",4,6,"Female",26
"1","1","1","2","1","1","India",4,5,"Male",30
"0","1","0","0","1","2","India",2,8,"Male",28
"0","1","2","1","2","2","India",2,9,"Male",21
"0","0","1","1","2","2","India",4,6,"Male",46
"0","0","0","1","0","0","India",2,8,"Female",32
"1","1","1","1","1","1","India",3,8,"Male",24
"2","2","2","2","2","2","India",6,8,"Male",30
"0","1","0","1","1","0","India",3,3,"Male",33
"2","2","2","1","1","2","India",4,6,"Female",39
"1","2","1","1","2","2","India",4,7,"Female",29
"0","0","0","0","0","2","India",3,6,"Male",33
"0","1","0","0","1","1","India",4,7,"Female",26
"0","1","0","0","0","0","India",4,5,"Male",62
"2","1","2","0","1","0","India",2,6,"Male",45
"2","1","2","1","1","2","India",3,6,"Female",32
"0","0","1","1","1","0","India",2,8,"Female",29
"0","1","0","1","1","2","India",4,8,"Female",31
"0","1","2","1","1","2","India",1,8,"Male",66
"0","0","1","1","0","2","India",3,5,"Male",45
"1","1","1","1","1","2","India",2,9,"Female",24
"0","1","0","1","1","0","India",5,9,"Male",26
"2","1","0","1","0","0","India",3,7,"Female",27
"2","2","2","2","2","2","India",2,5,"Male",43
"0","1","0","2","2","2","India",6,8,"Female",22
"0","0","0","0","1","1","India",2,8,"Female",36
"0","1","0","1","1","0","India",3,6,"Male",20
"1","1","1","1","1","0","India",4,5,"Female",32
"0","2","0","1","1","0","India",1,8,"Male",33
"1","1","1","2","1","1","India",5,9,"Female",30
"0","1","0","0","0","0","India",4,5,"Female",40
"0","0","0","2","1","1","India",4,10,"Female",29
"2","1","2","1","0","2","India",3,9,"Female",20
"0","1","0","1","0","0","India",6,3,"Female",26
"2","1","2","1","1","1","India",1,10,"Male",34
"1","1","1","1","1","0","India",4,5,"Male",33
"0","0","0","1","1","2","India",4,4,"Male",23
"0","0","2","1","1","2","India",8,1,"Male",28
"2","0","2","1","1","0","India",2,7,"Female",25
"0","1","0","1","1","1","India",4,6,"Male",24
"0","1","2","1","1","1","India",3,9,"Male",33
"2","1","2","0","0","0","India",4,6,"Female",33
"0","2","0","1","1","2","India",4,6,"Male",42
"0","1","0","0","1","0","India",4,7,"Male",53
"0","0","0","1","1","0","India",3,6,"Female",25
"0","0","0","1","1","0","India",3,8,"Female",33
"0","0","0","1","0","0","India",4,8,"Female",56
"1","1","2","1","2","1","India",3,6,"Female",28
"0","1","0","0","2","0","India",2,1,"Female",30
"2","1","2","2","1","1","India",5,6,"Female",22
"0","1","0","2","2","2","India",4,6,"Male",24
"2","0","2","0","0","0","India",1,1,"Female",27
"0","0","0","0","1","2","India",4,6,"Female",24
"0","0","0","1","1","0","India",5,7,"Male",36
"1","1","1","1","1","1","India",3,6,"Female",30
"0","0","0","0","2","1","India",6,9,"Female",28
"1","1","0","1","1","0","India",2,9,"Male",23
"0","1","0","0","1","0","India",8,6,"Male",24
"0","0","0","1","1","1","India",6,6,"Female",25
"2","1","1","2","1","0","India",5,7,"Female",20
"0","1","0","0","2","2","India",8,6,"Male",23
"0","2","0","2","0","0","India",4,6,"Male",51
"2","2","2","1","1","2","India",4,3,"Female",31
"0","0","0","0","0","0","India",2,7,"Male",33
"0","0","0","1","0","2","India",4,7,"Male",27
"1","1","1","1","0","0","India",5,8,"Female",29
"0","2","0","1","2","2","India",4,4,"Female",27
"0","1","0","1","1","2","India",6,4,"Male",35
"0","1","0","0","1","0","India",4,8,"Female",37
"0","0","1","1","0","0","India",2,6,"Female",54
"1","1","2","1","2","2","India",6,9,"Male",65
"2","1","2","1","1","1","India",2,8,"Male",25
"0","1","0","1","1","1","India",6,9,"Female",26
"0","0","0","1","1","0","India",6,7,"Female",24
"0","1","1","1","0","1","India",6,10,"Male",20
"2","0","2","2","1","2","India",4,6,"Female",25
"0","1","0","0","0","0","India",2,6,"Female",35
"2","0","0","0","1","1","India",4,7,"Male",23
"0","0","0","1","1","0","India",3,6,"Male",22
"0","2","0","0","0","0","India",2,6,"Male",48
"0","2","2","2","2","2","India",2,4,"Female",36
"0","1","0","1","1","0","India",1,10,"Male",35
"1","2","2","1","1","2","India",5,4,"Male",25
"0","2","2","0","1","2","India",3,6,"Male",27
"0","1","0","0","1","2","India",5,8,"Male",24
"1","1","1","1","1","2","India",1,10,"Female",25
"2","2","2","2","2","2","India",5,7,"Female",25
"0","0","1","0","0","0","India",5,8,"Female",31
"0","1","1","1","1","1","India",4,7,"Male",25
"0","1","0","1","2","2","India",4,6,"Male",21
"0","1","0","0","2","0","India",2,6,"Male",41
"0","1","0","0","0","0","India",5,3,"Male",23
"1","2","1","1","0","0","India",2,6,"Male",24
"0","0","0","1","1","2","India",2,8,"Female",24
"2","0","0","0","1","2","India",2,10,"Female",49
"1","0","1","1","1","0","India",4,8,"Female",40
"2","2","2","1","1","1","India",2,8,"Male",21
"0","1","0","1","1","0","India",2,3,"Male",55
"1","1","1","1","1","1","India",1,10,"Female",33
"1","1","0","2","0","0","India",4,7,"Male",19
"2","1","2","1","1","2","India",5,7,"Female",30
"0","1","0","0","1","0","India",4,7,"Male",25
"1","1","1","1","1","0","India",3,7,"Male",25
"0","1","0","1","1","1","India",2,10,"Male",28
"2","2","2","2","1","2","India",5,4,"Male",21
"0","1","1","1","1","0","India",2,3,"Female",70
"0","1","2","0","2","2","India",8,1,"Male",29
"1","1","1","2","0","0","India",1,6,"Male",23
"2","0","0","2","1","2","India",4,7,"Female",40
"0","1","2","1","1","1","India",3,4,"Male",49
"0","1","0","1","1","0","India",4,4,"Male",34
"0","0","2","1","1","2","India",2,8,"Male",24
"0","0","0","1","1","1","India",5,4,"Female",45
"0","2","2","2","1","0","India",4,6,"Female",28
"1","0","1","1","1","1","India",2,7,"Female",32
"1","1","1","0","1","1","India",7,6,"Male",28
"0","2","0","1","1","2","India",6,6,"Male",21
"0","0","1","2","1","1","India",4,7,"Female",43
"0","0","2","1","2","2","India",4,6,"Male",51
"1","1","0","1","1","1","India",1,10,"Female",29
"0","0","0","1","1","1","India",5,6,"Male",29
"0","0","0","1","1","2","India",4,5,"Male",32
"0","1","1","1","0","0","India",1,1,"Female",32
"1","1","1","1","1","1","India",2,4,"Male",38
"0","1","0","1","0","1","India",6,9,"Female",33
"0","0","1","1","0","2","India",3,7,"Male",29
"0","0","0","2","1","0","India",2,7,"Male",22
"0","0","0","1","0","1","India",6,3,"Male",31
"0","1","1","1","1","1","India",2,5,"Male",29
"0","0","0","1","1","1","India",4,8,"Female",31
"0","0","0","1","1","2","India",2,8,"Female",34
"2","1","2","2","2","2","India",3,10,"Male",20
"0","1","0","0","0","2","India",2,2,"Male",22
"0","1","0","0","1","0","India",2,8,"Male",47
"2","1","0","0","0","2","India",4,7,"Male",27
"1","1","1","1","1","1","India",2,7,"Male",25
"0","0","0","1","0","0","India",3,7,"Male",26
"2","0","2","1","0","2","India",4,7,"Male",20
"0","1","1","1","2","0","India",3,7,"Female",25
"1","1","1","1","1","1","India",1,1,"Female",100
"1","1","1","1","0","0","Hungary",6,3,"Male",21
"2","0","0","2","2","0","Hungary",4,8,"Male",20
"0","0","0","1","1","1","Hungary",4,5,"Female",21
"0","2","0","2","0","2","Hungary",3,5,"Female",22
"0","1","0","1","1","2","Hungary",5,6,"Male",22
"1","1","1","1","1","0","Hungary",3,4,"Male",21
"0","2","2","1","0","0","Hungary",6,6,"Male",22
"0","1","0","2","1","2","Hungary",3,7,"Female",20
"1","1","2","2","1","1","Hungary",3,4,"Male",21
"0","1","0","1","2","1","Hungary",3,5,"Female",24
"1","1","1","1","0","2","Hungary",2,3,"Male",20
"0","2","0","0","1","0","Hungary",3,5,"Female",24
"1","1","1","0","1","0","Hungary",3,4,"Male",21
"1","1","1","2","2","2","Hungary",1,8,"Male",19
"1","1","2","1","1","2","Hungary",5,5,"Male",23
"2","1","0","1","2","2","Hungary",4,8,"Female",22
"0","2","0","1","2","0","Hungary",1,4,"Female",24
"1","1","1","1","2","2","Hungary",3,5,"Male",20
"1","1","1","2","1","2","Hungary",4,2,"Female",23
"1","2","0","1","1","2","Hungary",3,5,"Male",23
"1","1","1","1","2","0","Hungary",2,2,"Male",24
"0","0","0","1","1","2","Hungary",4,4,"Female",22
"1","1","1","1","2","1","Hungary",4,4,"Male",27
"1","1","1","1","1","2","Hungary",5,4,"Male",22
"0","1","0","1","1","2","Hungary",4,5,"Female",21
"0","2","2","1","2","2","Hungary",1,9,"Female",23
"0","0","2","2","1","2","Hungary",8,8,"Male",22
"1","1","1","2","2","0","Hungary",5,7,"Female",20
"2","2","1","2","2","2","Hungary",8,4,"Male",22
"1","1","1","2","2","1","Hungary",2,3,"Female",19
"2","2","2","2","2","0","Hungary",4,5,"Female",20
"2","2","2","2","1","0","Hungary",4,5,"Male",21
"0","1","0","0","0","1","Hungary",3,4,"Female",24
"0","2","0","2","0","1","Hungary",4,6,"Female",22
"1","1","2","0","1","1","Hungary",2,6,"Male",20
"2","1","1","1","2","2","Hungary",3,3,"Male",25
"1","1","2","2","2","0","Hungary",3,3,"Male",24
"1","1","1","1","0","2","Hungary",5,3,"Male",27
"2","1","2","0","0","0","Hungary",3,8,"Female",26
"0","2","0","1","1","1","Hungary",1,4,"Female",20
"0","1","0","2","0","2","Hungary",6,5,"Female",21
"0","0","0","2","2","0","Hungary",4,4,"Female",20
"1","1","1","1","1","1","Hungary",3,4,"Male",24
"1","1","0","0","0","0","Hungary",5,7,"Female",28
"0","1","2","2","0","0","Hungary",8,8,"Male",20
"0","0","0","1","1","1","Hungary",8,7,"Male",24
"1","1","2","2","2","2","Hungary",5,4,"Male",21
"1","1","2","2","0","2","Hungary",4,5,"Male",22
"1","2","1","2","0","2","Hungary",2,7,"Male",22
"1","2","2","2","2","2","Hungary",2,8,"Male",19
"0","1","0","0","1","0","Hungary",2,8,"Female",20
"1","1","2","2","2","2","Hungary",4,5,"Female",19
"0","0","0","2","1","2","Hungary",4,5,"Female",20
"0","1","0","1","1","0","Hungary",8,5,"Male",22
"0","1","0","1","1","2","Hungary",9,5,"Male",21
"1","1","1","1","1","2","Hungary",3,8,"Male",21
"0","1","0","2","0","0","Hungary",6,5,"Female",22
"0","1","0","2","0","2","Hungary",4,4,"Male",20
"0","1","1","1","2","1","Hungary",2,9,"Female",19
"2","2","2","1","2","2","Hungary",5,4,"Female",23
"1","1","1","2","0","1","Hungary",2,3,"Male",21
"0","1","0","2","0","2","Hungary",5,5,"Female",25
"0","2","0","1","2","2","Hungary",5,6,"Female",24
"2","1","0","1","2","2","Hungary",3,4,"Male",22
"1","1","1","2","2","1","Hungary",2,4,"Male",21
"0","0","0","1","1","2","Hungary",8,4,"Female",24
"2","1","0","0","2","1","Hungary",4,4,"Male",23
"1","2","2","1","2","0","Hungary",2,4,"Female",23
"1","2","1","1","1","1","Hungary",3,6,"Female",23
"1","1","1","2","1","2","Hungary",2,5,"Male",23
"0","1","0","2","1","1","Hungary",5,6,"Female",31
"1","1","1","2","2","1","Hungary",2,8,"Male",20
"1","1","0","0","0","1","Hungary",2,3,"Female",22
"0","2","0","2","2","2","Hungary",4,6,"Female",22
"1","1","1","1","1","1","Hungary",2,3,"Male",21
"1","1","1","1","0","1","Hungary",2,3,"Female",21
"0","0","0","1","2","0","Hungary",5,6,"Male",24
"2","1","1","0","0","1","Hungary",2,4,"Male",21
"1","1","1","2","1","0","Hungary",6,8,"Female",24
"1","1","0","1","1","0","Hungary",2,7,"Female",25
"1","1","1","1","1","1","Hungary",1,2,"Male",24
"2","1","1","1","1","1","Hungary",4,5,"Male",22
"0","0","0","0","2","1","Hungary",4,4,"Female",21
"1","2","1","2","1","1","Hungary",8,9,"Male",19
"0","1","0","1","1","1","Hungary",8,8,"Male",18
"1","1","1","1","1","0","Hungary",4,5,"Male",26
"2","1","0","1","0","1","Hungary",3,2,"Male",26
"1","1","1","1","0","1","Hungary",1,9,"Female",23
"0","1","0","1","0","2","Hungary",1,6,"Female",18
"1","1","1","1","0","0","Hungary",8,8,"Male",24
"0","1","0","2","0","2","Hungary",3,8,"Male",25
"0","1","0","1","0","2","Hungary",2,4,"Male",24
"2","1","0","1","2","2","Hungary",3,5,"Male",20
"0","0","0","1","0","1","Hungary",4,6,"Male",22
"1","2","1","2","0","1","Hungary",2,4,"Male",22
"1","1","0","1","1","0","Hungary",4,8,"Female",22
"2","1","2","2","2","2","Hungary",4,4,"Female",20
"1","1","1","2","1","2","Hungary",4,9,"Female",28
"1","1","1","2","1","1","Hungary",5,6,"Male",19
"0","1","0","1","1","2","Hungary",2,5,"Male",20
"1","1","1","2","1","1","Hungary",2,5,"Female",19
"1","1","0","1","0","0","Hungary",3,3,"Female",19
"1","1","1","2","2","2","Hungary",3,8,"Male",22
"0","1","0","0","1","0","Hungary",5,5,"Female",23
"2","2","1","1","1","0","Hungary",2,8,"Male",20
"1","1","2","2","1","1","Hungary",8,5,"Female",20
"0","1","0","0","1","2","Hungary",4,5,"Female",19
"1","2","2","2","1","0","Hungary",8,8,"Male",19
"0","1","2","1","0","0","Hungary",5,2,"Female",19
"0","1","0","1","1","0","Hungary",2,7,"Male",21
"0","1","0","1","1","1","Hungary",5,6,"Male",19
"0","1","0","1","2","1","Hungary",5,8,"Male",20
"1","1","0","0","0","0","Hungary",3,3,"Female",25
"1","1","1","1","0","1","Hungary",2,6,"Female",24
"1","1","2","1","0","0","Hungary",5,5,"Male",24
"0","0","0","1","1","0","Hungary",5,8,"Male",26
"1","1","1","0","1","2","Hungary",1,4,"Male",23
"1","1","1","2","1","1","Hungary",6,5,"Male",24
"0","2","1","2","2","0","Hungary",3,4,"Female",22
"0","1","0","0","1","2","Hungary",2,6,"Female",20
"0","1","0","1","0","0","Hungary",8,4,"Male",23
"0","1","0","1","1","1","Hungary",4,4,"Female",21
"0","1","0","2","2","2","Hungary",5,7,"Male",21
"0","2","0","2","0","1","Hungary",5,5,"Female",24
"0","0","0","0","2","0","Hungary",3,3,"Female",23
"1","1","1","1","1","2","Hungary",3,3,"Male",21
"0","0","0","2","2","0","Hungary",3,3,"Female",22
"2","1","2","0","2","1","Hungary",1,4,"Female",24
"0","2","0","1","0","2","Hungary",5,6,"Male",23
"1","1","1","1","0","1","Hungary",5,5,"Male",23
"2","1","2","1","0","0","Hungary",5,6,"Female",24
"0","0","0","1","1","1","Hungary",5,3,"Female",22
"0","0","0","2","1","0","Hungary",8,5,"Female",23
"0","0","0","2","1","0","Hungary",5,3,"Female",24
"0","1","0","0","2","0","Hungary",6,5,"Female",22
"0","2","0","0","0","0","Hungary",6,6,"Female",24
"0","1","0","0","1","2","Hungary",7,5,"Female",23
"0","2","0","2","2","0","Hungary",5,6,"Female",22
"1","1","2","1","1","1","Hungary",2,4,"Male",20
"1","1","1","1","2","1","Hungary",4,8,"Male",21
"0","1","2","2","2","2","Hungary",3,4,"Female",31
"2","1","2","2","0","0","Hungary",8,8,"Female",22
"0","2","0","1","1","0","Hungary",6,6,"Female",23
"2","2","0","0","0","1","Hungary",4,9,"Male",23
"1","1","0","0","0","1","Hungary",5,6,"Female",22
"0","1","0","0","2","0","Hungary",5,5,"Female",20
"1","1","1","1","2","0","Hungary",2,3,"Female",27
"1","1","0","0","0","1","Hungary",6,7,"Male",24
"1","1","1","2","2","2","Hungary",3,8,"Male",22
"1","1","1","1","1","1","Hungary",5,5,"Male",21
"0","0","0","2","2","2","Hungary",8,5,"Male",21
"0","1","0","2","2","0","Hungary",5,8,"Male",21
"1","1","1","1","2","0","Hungary",3,4,"Female",27
"1","1","1","2","1","2","Hungary",4,5,"Male",21
"2","1","2","1","1","2","Hungary",8,6,"Male",21
"1","1","1","1","2","0","Hungary",2,4,"Female",20
"1","1","1","2","1","1","Hungary",8,4,"Female",22
"1","1","1","1","1","2","Hungary",2,3,"Male",24
"0","0","0","1","1","2","Hungary",5,5,"Male",21
"0","0","2","2","1","2","Hungary",6,5,"Female",31
"1","1","1","1","1","1","Hungary",4,9,"Male",22
"1","1","1","1","1","0","Hungary",2,5,"Male",21
"0","0","0","1","2","1","Hungary",1,6,"Female",22
"0","0","0","1","0","1","Hungary",3,4,"Male",20
"1","1","1","2","2","1","Hungary",4,4,"Male",22
"1","1","1","0","1","0","Hungary",2,5,"Male",20
"2","1","2","1","0","2","Hungary",9,8,"Female",22
"0","1","0","2","2","1","Hungary",4,5,"Female",22
"1","1","1","1","0","2","Hungary",3,3,"Male",21
"2","2","2","2","1","2","Hungary",3,6,"Male",20
"0","0","0","1","1","1","Hungary",4,5,"Female",19
"1","1","0","1","1","1","Hungary",3,6,"Male",22
"2","2","2","1","2","2","Hungary",4,4,"Male",24
"0","1","0","2","1","1","Hungary",8,5,"Female",26
"1","1","1","2","1","0","Hungary",1,1,"Male",24
"0","0","0","2","0","1","Hungary",8,6,"Female",20
"1","1","0","1","1","1","Hungary",6,6,"Female",24
"2","1","2","1","1","0","Hungary",4,4,"Female",25
"0","2","1","0","1","0","Hungary",6,5,"Female",23
"1","1","1","0","0","0","Hungary",1,3,"Male",21
"1","1","1","2","2","2","Hungary",8,8,"Male",24
"0","1","0","2","1","1","Hungary",5,5,"Female",23
"0","1","0","0","1","0","Hungary",5,5,"Female",26
"1","1","1","0","1","0","Hungary",3,2,"Male",19
"2","1","1","2","0","1","Hungary",3,6,"Male",24
"0","2","0","2","0","0","Hungary",3,5,"Female",21
"0","1","0","1","1","0","Hungary",5,6,"Male",25
"2","2","2","1","2","1","Hungary",4,4,"Male",20
"0","0","0","0","0","1","Hungary",8,4,"Female",19
"0","2","0","2","0","2","Hungary",5,5,"Female",22
"1","1","0","0","0","1","Hungary",2,6,"Female",21
"0","1","0","0","0","2","Hungary",5,5,"Female",25
"0","1","1","2","0","1","Hungary",9,5,"Female",21
"1","1","1","1","2","1","Hungary",2,4,"Male",22
"0","1","0","0","0","0","Hungary",5,6,"Female",21
"0","0","0","1","2","0","Hungary",8,8,"Female",24
"1","1","1","2","2","1","Hungary",8,9,"Male",20
