"gender","IQ","advice","SES","School"
"M",8,"Uni","Prof",4
"M",6,"Grls","MidWC",4
"M",4,"Ext","Shop",4
"F",7,"Uni","LoWC",4
"F",9,"Uni","Skil",4
"M",4,"Ext","Shop",4
"M",7,"Gen","Shop",4
"F",7,"Gen","Prof",4
"F",9,"Uni","MidWC",4
"F",7,"Gen","MidWC",4
"F",9,"Uni","LoWC",4
"M",6,"Uni","Shop",4
"F",5,"Gen","MidWC",4
"F",7,"Gen","Prof",4
"F",5,"Gen","Prof",4
"F",8,"Uni","Skil",4
"M",5,"Gen","Prof",4
"F",6,"Gen","Shop",4
"M",4,"Gen","Prof",4
"F",6,"Man","Skil",4
"F",7,"Uni","MidWC",4
"M",8,"Uni","Shop",4
"F",5,"Agr","LoWC",4
"F",6,"Gen","Prof",4
"M",6,"Gen","Prof",4
"F",6,"Gen","Skil",4
"F",5,"Man","Skil",4
"F",6,"Man","Shop",4
"M",3,"Ext","Shop",4
"M",5,"Man","Skil",4
"M",4,"Gen","Shop",4
"F",7,"Gen","LoWC",4
"M",9,"Uni","Prof",4
"M",7,"Uni","Prof",4
"F",6,"Gen","Prof",4
"F",7,"Gen","Skil",4
"F",7,"Gen","LoWC",4
"F",7,"Gen","Prof",4
"M",5,"Gen","Shop",4
"F",4,"Man","Skil",4
"M",5,"Man","Skil",4
"M",5,"Man","MidWC",4
"M",5,"Gen","Skil",4
"M",5,"Man","Prof",4
"F",5,"Ext","Prof",4
"F",7,"Uni","Prof",4
"M",6,"Man","Prof",4
"M",7,"Uni","Prof",4
"M",7,"Grls","Shop",4
"F",6,"Gen","Shop",4
"F",7,"Gen","Prof",4
"F",6,"Gen","MidWC",4
"M",5,"Man","Skil",4
"F",7,"Gen","LoWC",4
"F",7,"Gen","MidWC",4
"M",1,"Man","MidWC",4
"M",6,"Gen","Shop",4
"M",7,"Gen","Shop",4
"F",4,"Man","Skil",4
"M",6,"Uni","MidWC",4
"F",6,"Man","Shop",4
"F",6,"Agr","LoWC",4
"F",7,"Gen","MidWC",4
"F",4,"Gen","Prof",4
"F",3,"Man","Skil",5
"F",5,"Man","Skil",5
"M",5,"Man","Shop",5
"M",5,"Man","Shop",5
"M",4,"Man","Shop",5
"M",5,"Man","MidWC",5
"F",5,"Man","Prof",5
"M",2,"Ext","Skil",5
"M",4,"Ext","Skil",5
"M",4,"Man","Shop",5
"M",5,"Man","Shop",5
"M",5,"Gen","Shop",5
"F",3,"Ext","Skil",5
"M",3,"Ext","Shop",5
"M",4,"Man","Shop",5
"F",4,"Man","Shop",5
"M",3,"Man","Shop",5
"M",4,"Man","Prof",5
"M",4,"Ext","Shop",5
"F",5,"Gen","Skil",5
"M",5,"Man","Shop",5
"F",5,"Man","Shop",5
"F",5,"Man","Skil",5
"F",3,"Ext","Skil",5
"F",3,"Ext","Skil",5
"F",5,"Man","Skil",5
"F",3,"Man","Skil",5
"F",6,"Gen","LoWC",5
"M",5,"Man","Shop",5
"F",5,"Man","Skil",5
"F",4,"Ext","Skil",5
"F",5,"Gen","Skil",5
"M",6,"Gen","Shop",5
"F",6,"Gen","Shop",5
"F",3,"Man","Skil",5
"M",4,"Man","Shop",5
"M",3,"Ext","Shop",5
"M",3,"Ext","Shop",5
"M",4,"Gen","MidWC",5
"M",3,"Man","MidWC",6
"F",3,"Ext","Shop",6
"M",6,"Gen","Shop",6
"F",5,"Gen","Prof",6
"M",4,"Gen","Shop",6
"M",5,"Man","Shop",6
"M",4,"Man","Skil",6
"F",4,"Man","Skil",6
"M",4,"Man","MidWC",6
"F",5,"Grls","Skil",6
"M",5,"Man","Shop",6
"F",7,"Gen","Prof",6
"F",4,"Gen","MidWC",6
"F",5,"Ext","Skil",6
"M",3,"Man","Shop",6
"F",4,"Gen","Shop",6
"M",3,"Gen","Shop",6
"F",4,"Gen","Skil",6
"M",5,"Man","Shop",6
"F",6,"Gen","MidWC",6
"M",3,"Ext","Shop",6
"F",7,"Uni","Prof",6
"M",5,"Man","Shop",6
"F",7,"Gen","Skil",6
"F",7,"Uni","Prof",6
"M",5,"Gen","Shop",6
"F",5,"Man","Shop",6
"M",4,"Man","Shop",6
"M",5,"Man","Shop",6
"F",5,"Man","MidWC",6
"M",5,"Man","Shop",6
"F",5,"Gen","MidWC",6
"M",1,"Ext","Shop",6
"M",6,"Uni","MidWC",6
"M",3,"Ext","Skil",6
"M",4,"Man","Shop",6
"M",5,"Man","Shop",6
"F",3,"Man","Prof",6
"F",5,"Man","Skil",6
"M",7,"Uni","Shop",6
"M",5,"Man","Prof",6
"M",5,"Gen","MidWC",6
"M",4,"Gen","MidWC",6
"M",5,"Gen","Shop",6
"F",5,"Man","MidWC",6
"M",8,"Uni","Prof",7
"F",7,"Gen","MidWC",7
"M",3,"Ext","Shop",7
"M",5,"Man","Shop",7
"F",5,"Gen","MidWC",7
"M",5,"Man","Skil",7
"M",4,"Man","Prof",7
"M",8,"Uni","Shop",7
"M",4,"Man","Unsk",7
"M",7,"Gen","Prof",7
"F",7,"Man","Skil",7
"M",7,"Uni","Shop",7
"M",7,"Gen","Shop",7
"F",5,"Man","MidWC",7
"F",4,"Man","Skil",7
"M",4,"Man","Shop",7
"F",5,"Man","Shop",7
"F",7,"Uni","Prof",7
"M",6,"Gen","Shop",7
"M",7,"Uni","MidWC",7
"M",3,"Ext","Shop",7
"M",4,"Ext","Shop",7
"F",3,"Ext","Shop",7
"F",7,"Gen","Prof",7
"F",6,"Man","Prof",7
"F",3,"Ext","Skil",7
"M",5,"Gen","Shop",7
"F",4,"Gen","MidWC",7
"F",5,"Gen","Skil",7
"M",5,"Man","Shop",7
"M",7,"Uni","MidWC",7
"F",7,"Gen","Skil",7
"M",4,"Gen","Shop",7
"M",3,"Gen","Shop",7
"F",4,"Man","Skil",7
"F",2,"Man","Shop",7
"M",5,"Gen","Shop",7
"M",7,"Gen","MidWC",7
"M",6,"Gen","Shop",7
"M",4,"Man","Shop",8
"F",6,"Gen","Prof",8
"F",5,"Gen","Shop",8
"M",4,"Man","Unsk",8
"M",5,"Man","Shop",8
"F",7,"Uni","MidWC",8
"F",6,"Gen","Prof",8
"M",4,"Man","Skil",8
"M",6,"Gen","Shop",8
"F",3,"Man","Skil",8
"F",7,"Uni","Skil",8
"M",6,"Gen","Shop",8
"F",4,"Man","MidWC",8
"F",3,"Man","Skil",8
"F",5,"Man","Skil",8
"F",5,"Man","Skil",8
"M",5,"Man","Shop",8
"M",4,"Ext","Unsk",8
"M",4,"Man","Shop",8
"M",5,"Man","Prof",8
"M",4,"Man","Skil",8
"F",4,"Man","Skil",8
"M",3,"Man","Skil",8
"F",8,"Uni","Prof",8
"M",5,"Man","Shop",8
"M",3,"Man","Skil",8
"F",4,"Man","Skil",8
"M",3,"Man","Skil",8
"F",8,"Uni","MidWC",8
"F",2,"Ext","LoWC",8
"F",4,"Agr","LoWC",8
"M",5,"Ext","MidWC",9
"M",5,"Man","Shop",9
"F",6,"Man","Shop",9
"M",5,"Man","Skil",9
"F",5,"Man","MidWC",9
"M",4,"Man","Prof",9
"F",7,"Gen","MidWC",9
"M",9,"Uni","MidWC",9
"M",7,"Gen","Shop",9
"M",8,"Uni","Shop",9
"F",6,"Man","Skil",9
"M",5,"Man","Shop",9
"M",6,"Gen","Shop",9
"F",6,"Gen","MidWC",9
"F",9,"Uni","Shop",9
"F",6,"Gen","Prof",9
"F",7,"Gen","Shop",9
"F",6,"Gen","LoWC",9
"M",5,"Man","Skil",9
"F",7,"Gen","Shop",9
"F",5,"Man","Shop",9
"F",6,"Gen","MidWC",9
"M",5,"Man","Shop",9
"M",6,"Gen","MidWC",9
"F",7,"Gen","Skil",9
"M",6,"Gen","Shop",9
"F",5,"Man","Shop",9
"F",4,"Man","LoWC",9
"F",6,"Gen","Prof",9
"F",4,"Man","Skil",9
"M",4,"Man","MidWC",9
"F",8,"Gen","Shop",9
"M",7,"Uni","Shop",9
"F",5,"Gen","Shop",9
"M",8,"Gen","Shop",9
"M",7,"Uni","Prof",9
"F",8,"Uni","Shop",9
"M",7,"Uni","Prof",9
"F",5,"Man","Skil",9
"M",6,"Gen","MidWC",9
"F",6,"Gen","LoWC",9
"F",6,"Gen","MidWC",9
"M",5,"Gen","MidWC",9
"M",7,"Gen","Shop",9
"F",7,"Uni","Skil",9
"F",6,"Man","Skil",9
"F",7,"Ext","Skil",9
"M",5,"Man","Prof",9
"F",5,"Man","Skil",9
"F",8,"Gen","Prof",9
"F",7,"Uni","Shop",9
"F",5,"Man","Skil",9
"F",6,"Gen","Shop",9
"F",5,"Man","Skil",10
"M",4,"Man","Shop",10
"F",7,"Uni","Skil",10
"F",3,"Ext","Skil",10
"M",5,"Man","MidWC",10
"F",6,"Gen","Prof",10
"M",3,"Ext","Shop",10
"M",5,"Man","Shop",10
"M",3,"Ext","Shop",10
"M",6,"Gen","Shop",10
"F",4,"Man","MidWC",10
"M",5,"Gen","Shop",10
"M",4,"Man","Shop",10
"F",5,"Man","Prof",10
"M",5,"Man","Prof",10
"F",5,"Gen","Prof",10
"F",5,"Man","Skil",10
"M",3,"Man","Shop",10
"M",4,"Man","Shop",10
"F",5,"Man","Skil",10
"M",6,"Gen","Shop",10
"F",4,"Ext","Skil",10
"F",5,"Man","Unsk",10
"M",3,"Ext","Shop",10
"M",4,"Ext","Shop",10
"M",5,"Man","Skil",10
"M",6,"Gen","Shop",10
"F",5,"Man","Skil",10
"F",7,"Gen","Skil",10
"F",4,"Man","Skil",10
"F",5,"Man","Skil",10
"M",5,"Man","Shop",11
"M",5,"Man","MidWC",11
"M",5,"Man","Shop",11
"F",7,"Gen","MidWC",11
"F",6,"Gen","MidWC",11
"M",5,"Man","Shop",11
"M",3,"Ext","MidWC",11
"F",6,"Gen","MidWC",11
"F",5,"Gen","Shop",11
"F",7,"Gen","Skil",11
"M",5,"Man","Shop",11
"M",3,"Ext","Shop",11
"M",4,"Man","Shop",11
"F",5,"Man","Skil",11
"M",5,"Man","Shop",11
"M",5,"Ext","Shop",11
"M",4,"Man","Shop",11
"F",4,"Man","Shop",11
"F",3,"Man","Shop",11
"F",6,"Gen","MidWC",11
"M",3,"Man","Shop",11
"M",4,"Man","Shop",11
"F",4,"Man","Skil",11
"M",6,"Gen","MidWC",11
"F",3,"Ext","Skil",11
"M",3,"Ext","Shop",11
"F",5,"Man","Skil",11
"F",3,"Man","Skil",11
"M",3,"Man","Shop",11
"M",5,"Man","Skil",11
"F",5,"Man","Shop",12
"M",6,"Gen","Shop",12
"F",6,"Gen","Prof",12
"F",6,"Gen","Skil",12
"M",3,"Ext","Shop",12
"M",3,"Man","Skil",12
"F",7,"Gen","Shop",12
"F",4,"Gen","Skil",12
"M",6,"Gen","Shop",12
"F",5,"Man","Skil",12
"F",7,"Man","Prof",12
"F",4,"Man","Shop",12
"M",5,"Gen","MidWC",12
"M",6,"Gen","Shop",12
"M",5,"Man","Shop",12
"F",6,"Uni","MidWC",12
"M",3,"Ext","Skil",12
"F",7,"Uni","MidWC",12
"F",5,"Man","Skil",12
"M",6,"Gen","MidWC",12
"M",4,"Man","Shop",12
"F",5,"Gen","Prof",12
"M",4,"Man","Shop",12
"F",3,"Ext","Shop",12
"M",4,"Man","Skil",12
"M",7,"Gen","MidWC",12
"M",6,"Gen","MidWC",12
"M",4,"Man","Shop",12
"M",2,"Ext","Shop",12
"F",5,"Gen","Prof",12
"M",6,"Gen","Prof",12
"F",3,"Ext","Skil",12
"M",5,"Man","Shop",12
"F",5,"Man","Shop",12
"M",2,"Ext","Shop",12
"F",4,"Man","MidWC",12
"M",4,"Man","Shop",13
"M",4,"Man","Shop",13
"F",5,"Man","Shop",13
"F",6,"Gen","Prof",13
"M",7,"Gen","MidWC",13
"F",7,"Uni","Prof",13
"M",5,"Gen","Shop",13
"M",3,"Ext","Shop",13
"F",4,"Man","Skil",13
"M",6,"Man","Shop",13
"F",5,"Man","Skil",13
"F",6,"Gen","Shop",13
"F",8,"Gen","Skil",13
"F",8,"Uni","MidWC",13
"M",5,"Man","Unsk",13
"F",5,"Man","Skil",13
"F",5,"Man","Skil",13
"M",9,"Uni","MidWC",13
"F",7,"Gen","MidWC",13
"F",6,"Agr","Prof",13
"M",5,"Man","Shop",13
"M",5,"Man","Skil",13
"M",6,"Gen","MidWC",13
"M",5,"Man","Shop",13
"M",3,"Man","Unsk",13
"M",5,"Gen","MidWC",13
"F",6,"Gen","MidWC",13
"F",5,"Man","Skil",13
"F",6,"Man","Shop",13
"M",3,"Man","Shop",13
"M",4,"Ext","Skil",13
"F",5,"Gen","MidWC",13
"M",5,"Gen","MidWC",13
"F",4,"Agr","LoWC",13
"M",4,"Man","Skil",13
"M",7,"Gen","Shop",13
"M",3,"Ext","Shop",13
"M",4,"Man","Shop",13
"M",5,"Man","Prof",13
"F",8,"Uni","Prof",13
"M",1,"Man","Shop",13
"M",5,"None","Shop",13
"F",7,"Gen","Shop",13
"M",4,"Man","MidWC",13
"M",7,"Gen","Shop",13
"M",7,"Gen","Shop",13
"M",6,"Gen","Shop",13
"F",3,"None","Skil",13
"F",5,"Man","Skil",13
"F",6,"Gen","Prof",13
"F",6,"Gen","Prof",13
"F",4,"Man","Skil",13
"F",5,"Man","Skil",14
"M",4,"Ext","MidWC",14
"M",5,"Gen","Skil",14
"M",3,"Man","MidWC",14
"M",4,"Man","Skil",14
"F",7,"Gen","MidWC",14
"M",3,"Man","Shop",14
"M",6,"Gen","Prof",14
"F",8,"Uni","Skil",14
"M",3,"Ext","Shop",14
"F",5,"Gen","Shop",14
"F",7,"Gen","Skil",14
"M",5,"Gen","Shop",14
"M",4,"Man","Skil",14
"F",5,"Man","Skil",14
"M",7,"Uni","Prof",14
"F",6,"Gen","Shop",14
"M",6,"Gen","Shop",14
"M",7,"Uni","MidWC",14
"F",5,"Gen","Shop",14
"F",5,"Gen","Shop",14
"M",5,"Gen","Shop",14
"F",8,"Uni","Prof",14
"F",7,"Uni","Prof",14
"M",3,"Ext","Shop",14
"M",6,"Gen","Shop",14
"F",7,"Man","LoWC",14
"F",6,"Gen","Prof",14
"M",5,"Man","Shop",14
"F",5,"Gen","MidWC",15
"F",5,"Gen","Shop",15
"M",4,"Man","Shop",15
"F",3,"Ext","Skil",15
"M",1,"Ext","Shop",15
"F",5,"Man","Skil",15
"F",9,"Uni","Skil",15
"M",4,"None","Skil",15
"F",5,"Man","Skil",15
"M",5,"Man","Shop",15
"M",4,"Man","Skil",15
"F",5,"Man","Skil",15
"M",6,"Gen","Shop",15
"F",3,"Man","Skil",15
"F",7,"Uni","Prof",15
"F",5,"Man","Skil",15
"F",5,"Gen","Prof",15
"F",6,"Gen","Prof",15
"F",5,"Man","Skil",15
"F",8,"Uni","Prof",15
"M",3,"Ext","Skil",15
"M",3,"Ext","Shop",15
"F",5,"Man","Skil",15
"F",7,"Man","MidWC",15
"F",6,"Gen","MidWC",15
"F",6,"Man","Skil",15
"F",4,"Man","Skil",15
"M",3,"Ext","Skil",15
"F",6,"Man","Skil",15
"F",8,"Uni","MidWC",15
"M",6,"Gen","Shop",15
"M",4,"Man","Shop",15
"F",3,"Ext","Skil",15
"F",5,"Man","Skil",16
"F",7,"Uni","MidWC",16
"F",7,"Uni","Skil",16
"M",6,"Uni","Prof",16
"M",8,"Gen","Skil",16
"M",4,"Gen","Shop",16
"F",7,"Uni","LoWC",16
"F",8,"Uni","MidWC",16
"M",5,"Man","Shop",16
"M",4,"Gen","Shop",16
"M",6,"Uni","Shop",16
"F",6,"Gen","Skil",16
"F",7,"Uni","LoWC",16
"M",6,"Gen","MidWC",16
"F",6,"Man","Skil",16
"M",5,"Man","Skil",16
"F",7,"Uni","Skil",16
"F",6,"Man","Skil",16
"F",5,"Gen","Shop",16
"M",5,"Gen","Skil",16
"F",7,"Gen","Prof",16
"F",7,"Uni","Shop",16
"M",6,"Gen","Shop",16
"F",7,"Gen","Prof",16
"F",6,"Gen","Shop",16
"F",5,"Man","Prof",16
"M",5,"Man","Shop",16
"F",8,"Uni","Shop",16
"F",5,"Gen","Skil",16
"F",6,"Uni","Prof",16
"F",6,"Gen","Shop",16
"M",5,"Gen","Shop",16
"F",6,"Gen","MidWC",16
"M",5,"Man","Shop",16
"M",7,"Uni","MidWC",16
"F",5,"Gen","Shop",16
"M",4,"Ext","MidWC",16
"M",6,"Gen","Skil",16
"M",3,"Gen","Shop",16
"M",5,"Gen","Skil",16
"F",6,"Gen","Shop",16
"M",6,"Gen","Shop",16
"F",9,"Uni","Prof",16
"F",6,"Gen","Shop",16
"M",6,"Gen","Skil",16
"F",7,"Uni","Shop",16
"F",7,"Uni","Prof",16
"F",7,"Uni","MidWC",16
"M",5,"Gen","Shop",16
"M",4,"Man","Shop",16
"M",4,"Gen","Shop",16
"M",5,"Man","Skil",16
"F",5,"Gen","Prof",16
"F",7,"Uni","MidWC",16
"F",7,"Uni","MidWC",16
"F",5,"Man","Shop",16
"M",5,"Gen","Shop",16
"M",7,"Uni","MidWC",16
"M",4,"Gen","Shop",16
"M",4,"Gen","Shop",16
"F",5,"Gen","Prof",16
"F",8,"Uni","MidWC",16
"F",6,"Uni","Shop",16
"F",6,"Gen","Prof",16
"M",6,"Gen","Shop",16
"M",4,"Man","MidWC",17
"F",5,"Man","MidWC",17
"F",8,"Uni","MidWC",17
"F",6,"Man","Skil",17
"M",4,"Ext","Shop",17
"M",4,"Ext","MidWC",17
"M",8,"Uni","MidWC",17
"F",4,"Ext","Shop",17
"F",9,"Uni","Prof",17
"M",7,"Grls","MidWC",17
"M",3,"Man","Skil",17
"F",9,"Uni","MidWC",17
"M",4,"Gen","Shop",17
"F",8,"Uni","Prof",17
"M",4,"Ext","Shop",17
"M",4,"Ext","Shop",17
"M",5,"Gen","MidWC",17
"M",4,"Ext","Shop",17
"M",7,"Gen","Shop",17
"F",7,"Gen","Prof",17
"M",4,"Ext","Shop",17
"M",4,"Gen","Skil",17
"F",4,"Gen","Prof",17
"F",5,"Ext","MidWC",17
"F",6,"Man","Skil",17
"F",8,"Uni","Prof",17
"M",5,"Gen","MidWC",17
"F",7,"Man","Skil",17
"F",9,"Uni","Prof",17
"M",6,"Uni","MidWC",17
"M",3,"Ext","Skil",17
"F",5,"Gen","MidWC",17
"M",5,"Gen","MidWC",17
"F",5,"Ext","Prof",17
"F",6,"Gen","MidWC",17
"M",7,"Uni","MidWC",17
"M",6,"Uni","MidWC",17
"M",6,"Gen","MidWC",17
"F",9,"Uni","Prof",17
"M",3,"Ext","Skil",17
"F",5,"Man","Shop",17
"M",7,"Grls","Shop",17
"F",7,"Gen","Shop",17
"M",5,"Gen","Shop",17
"F",7,"Uni","Prof",17
"F",6,"Gen","MidWC",17
"M",4,"Gen","Shop",17
"F",8,"Gen","Shop",17
"M",7,"Grls","Prof",17
"M",7,"Grls","MidWC",17
"M",9,"Uni","Shop",17
"M",5,"Gen","Shop",17
"F",8,"Uni","MidWC",17
"F",5,"Man","Prof",17
"M",7,"Gen","Shop",17
"M",7,"Uni","Prof",17
"F",5,"Man","LoWC",17
"M",6,"Man","Skil",18
"M",4,"Man","Shop",18
"F",7,"Gen","Shop",18
"F",7,"Gen","LoWC",18
"F",3,"Ext","Shop",18
"F",5,"Ext","Shop",18
"M",4,"Man","Shop",18
"F",6,"Gen","LoWC",18
"M",6,"Gen","Shop",18
"F",7,"Uni","Skil",18
"M",4,"Man","Unsk",18
"F",3,"Ext","Shop",18
"F",6,"Ext","Skil",18
"F",7,"Uni","MidWC",18
"M",2,"Ext","Shop",18
"F",6,"Gen","MidWC",18
"M",4,"Man","Skil",18
"M",2,"Man","Shop",18
"M",4,"Man","Skil",18
"F",5,"Gen","Skil",18
"F",5,"Man","MidWC",18
"F",6,"Ext","Shop",18
"F",5,"Man","Skil",18
"F",4,"Man","Skil",18
"F",3,"Ext","Skil",18
"F",7,"Gen","Skil",18
"F",5,"Ext","Skil",18
"M",5,"Man","Shop",18
"M",7,"Uni","Shop",18
"M",4,"Man","Shop",18
"M",2,"Man","Unsk",18
"F",2,"Ext","Skil",19
"F",2,"Ext","Skil",19
"M",4,"Man","Skil",19
"M",4,"Man","Prof",19
"F",4,"Man","Skil",19
"M",4,"Man","Shop",19
"F",5,"Man","Shop",19
"F",5,"Gen","MidWC",19
"F",5,"Man","Skil",19
"M",3,"Man","Shop",19
"M",3,"Man","Skil",19
"F",4,"Man","Skil",19
"F",6,"Gen","MidWC",19
"M",4,"Man","Skil",19
"M",4,"Man","Shop",19
"F",7,"Gen","Prof",19
"M",4,"Man","MidWC",19
"M",6,"Gen","MidWC",19
"F",5,"Gen","Shop",19
"F",6,"Man","Shop",19
"F",5,"Gen","Skil",19
"F",5,"Man","Skil",19
"F",4,"Man","Skil",19
"M",4,"Man","Shop",19
"F",5,"Gen","Shop",19
"F",7,"Uni","MidWC",19
"M",5,"Gen","MidWC",20
"F",5,"Ext","MidWC",20
"F",6,"Gen","LoWC",20
"M",5,"Ext","Shop",20
"M",5,"Gen","Skil",20
"F",6,"Gen","Skil",20
"F",5,"Man","MidWC",20
"M",5,"Man","Shop",20
"M",6,"Gen","Shop",20
"M",3,"Ext","Shop",20
"M",5,"Man","Shop",20
"M",4,"Man","Shop",20
"F",6,"Gen","MidWC",20
"F",5,"Gen","Skil",20
"M",4,"Man","Shop",20
"F",4,"Man","Skil",20
"F",5,"Ext","Skil",20
"M",6,"Gen","MidWC",20
"M",4,"Man","Shop",20
"M",4,"Man","Skil",20
"F",4,"Man","Skil",20
"M",3,"Man","Shop",20
"M",3,"Ext","Shop",20
"F",5,"Gen","Shop",20
"F",5,"Man","Skil",20
"F",6,"Gen","Skil",20
"F",7,"Gen","MidWC",20
"F",5,"Man","Skil",21
"M",3,"Ext","Shop",21
"F",4,"Man","Skil",21
"F",5,"Man","Skil",21
"F",5,"Man","LoWC",21
"F",6,"Man","Shop",21
"M",5,"Man","Shop",21
"M",7,"Gen","MidWC",21
"F",5,"Man","MidWC",21
"F",4,"Man","Skil",21
"M",4,"Man","Shop",21
"M",6,"Gen","MidWC",21
"F",5,"Man","Skil",21
"M",5,"Man","Shop",21
"M",4,"Man","Shop",21
"M",4,"Man","Shop",21
"F",5,"Man","Skil",21
"F",5,"Man","Prof",21
"M",5,"Man","Shop",21
"F",6,"Man","Prof",21
"F",6,"Gen","Prof",21
"F",5,"Man","LoWC",21
"M",6,"Ext","Prof",21
"M",3,"Man","Shop",21
"M",5,"Ext","Skil",21
"M",7,"Uni","Prof",22
"F",6,"Man","MidWC",22
"M",4,"Ext","Shop",22
"F",8,"Uni","Shop",22
"F",7,"Gen","Prof",22
"M",6,"Man","Skil",22
"M",3,"Ext","Skil",22
"M",5,"Ext","Skil",22
"M",5,"Man","Shop",22
"M",7,"Uni","MidWC",22
"M",5,"Man","Shop",22
"F",6,"Gen","Skil",22
"F",5,"Man","Shop",22
"M",5,"Man","Shop",22
"F",5,"Man","Shop",22
"M",4,"Man","Shop",22
"M",6,"Gen","Skil",22
"F",5,"Gen","MidWC",22
"M",5,"Man","Shop",22
"M",4,"Man","Skil",22
"M",3,"Ext","Shop",22
"M",4,"Man","Skil",22
"F",4,"Man","Shop",22
"F",5,"Man","MidWC",22
"F",7,"Gen","Prof",22
"F",5,"Man","Skil",22
"M",8,"Uni","Prof",22
"F",7,"Uni","MidWC",23
"M",5,"Man","MidWC",23
"F",5,"Man","Skil",23
"F",7,"Gen","LoWC",23
"F",7,"Gen","MidWC",23
"M",5,"Gen","Shop",23
"M",6,"Gen","Skil",23
"F",6,"Gen","Prof",23
"M",6,"Man","Shop",23
"M",5,"Gen","Shop",23
"M",3,"Man","Skil",23
"M",5,"Gen","Shop",23
"F",3,"Ext","Shop",23
"F",6,"Ext","MidWC",23
"M",4,"Man","Shop",23
"M",3,"Man","Shop",23
"M",3,"Man","Shop",23
"M",6,"Gen","MidWC",23
"F",5,"Man","Skil",23
"F",4,"Man","Skil",23
"M",5,"Man","MidWC",23
"F",4,"Man","Prof",23
"M",5,"Man","Shop",23
"M",5,"Man","MidWC",23
"F",8,"Uni","MidWC",23
"F",5,"Man","MidWC",23
"F",4,"Gen","Shop",24
"M",6,"Man","Shop",24
"M",4,"Ext","MidWC",24
"M",5,"Ext","Shop",24
"M",3,"Ext","Skil",24
"M",4,"Man","Shop",24
"M",5,"Ext","Unsk",24
"F",5,"Ext","MidWC",24
"M",3,"Man","Skil",24
"M",3,"Man","Shop",24
"F",7,"Gen","Shop",24
"M",4,"Man","Shop",24
"F",4,"Man","Shop",24
"F",6,"Gen","Skil",24
"F",8,"Uni","MidWC",24
"F",4,"Ext","Skil",24
"F",4,"Man","MidWC",24
"M",5,"Ext","Shop",24
"M",4,"Man","Shop",24
"M",3,"Ext","Unsk",24
"M",5,"Man","Shop",24
"M",3,"Ext","Shop",24
